Letter,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
ዻ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዺ , 90 , 22320 , 90 , 0 , 90.2173913043 , 50.0 , 100.0 , 66.6666666667
ጌ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ግ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዿ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዾ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዽ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዼ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዳ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጇ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጄ , 90 , 22320 , 90 , 0 , 90.2173913043 , 50.0 , 100.0 , 66.6666666667
ደ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዷ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዶ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጀ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዴ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ያ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዪ , 90 , 22320 , 90 , 0 , 90.2173913043 , 50.0 , 100.0 , 66.6666666667
ዩ , 90 , 22320 , 90 , 0 , 90.2173913043 , 50.0 , 100.0 , 66.6666666667
የ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዮ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ይ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዬ , 0 , 22410 , 90 , 90 , 90.2173913043 , 0.0 , 0.0 , 0
ዣ , 0 , 22410 , 0 , 90 , 90.2173913043 , 0 , 0.0 , 0
ዢ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዡ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዠ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዧ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጓ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዥ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጋ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዛ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዚ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጬ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጭ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጪ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጫ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዝ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዜ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጦ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጧ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዑ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጥ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጢ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዖ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዕ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዔ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዋ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጆ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዉ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ወ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጺ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዎ , 0 , 22410 , 0 , 90 , 90.2173913043 , 0 , 0.0 , 0
ጸ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ዌ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጶ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጼ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጴ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጵ , 0 , 22410 , 0 , 90 , 90.2173913043 , 0 , 0.0 , 0
ጲ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጳ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጰ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጱ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ኸ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ኹ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ኺ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ኻ , 0 , 22410 , 0 , 90 , 90.2173913043 , 0 , 0.0 , 0
ኼ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ኽ , 0 , 22410 , 0 , 90 , 90.2173913043 , 0 , 0.0 , 0
ኾ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጂ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ኳ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ጃ , 90 , 22320 , 90 , 0 , 90.2173913043 , 50.0 , 100.0 , 66.6666666667
ከ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ኩ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
ኪ , 90 , 22320 , 90 , 0 , 90.2173913043 , 50.0 , 100.0 , 66.6666666667
ካ , 90 , 22320 , 0 , 0 , 90.2173913043 , 100.0 , 100.0 , 100.0
