Letter,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
ዻ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዺ , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
ጌ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ግ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዿ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዾ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዽ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዼ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዳ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጇ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጄ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ደ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዷ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዶ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጀ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዴ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ያ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዪ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዩ , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
የ , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
ዮ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ይ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዬ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዣ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ዢ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዡ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዠ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዧ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጓ , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
ዥ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጋ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዛ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዚ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጬ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጭ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጪ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጫ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዝ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዜ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጦ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጧ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዑ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጥ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጢ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዖ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዕ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዔ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዋ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጆ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዉ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ወ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጺ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዎ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ጸ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዌ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጶ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጼ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጴ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጵ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ጲ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጳ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጰ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጱ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኸ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኹ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኺ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኻ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኼ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኽ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ኾ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጂ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኳ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጃ , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
ከ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኩ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኪ , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
ካ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኬ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ክ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኮ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
አ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኡ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኢ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኣ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኤ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
እ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኦ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ኧ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኘ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኙ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኚ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ኛ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኜ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኝ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኞ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኟ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ነ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኑ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኒ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ና , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኔ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ን , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኖ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኗ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኋ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዊ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ኀ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኁ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኂ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኃ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኄ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኅ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ኆ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጅ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጯ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዦ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጡ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዤ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፉ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፈ , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
ፋ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፊ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፍ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፌ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፏ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፎ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፁ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፀ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፃ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፂ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፅ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዙ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፄ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዘ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፑ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፐ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፓ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፒ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፕ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፔ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፖ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጨ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጩ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዟ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዓ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዹ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጮ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጁ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ጤ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሂ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሃ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሀ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዐ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሆ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሄ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ህ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሊ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ላ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ለ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሉ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሎ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሏ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሌ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ል , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሒ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሓ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሐ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሑ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሖ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጠ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሔ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሕ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሚ , 90 , 23490 , 180 , 0 , 94.9275362319 , 33.3333333333 , 100.0 , 50.0
ማ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
መ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሙ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሞ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሟ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሜ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ም , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሢ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጾ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሠ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሡ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሦ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሤ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጿ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሪ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ራ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ረ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሩ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሮ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሯ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሬ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ር , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሲ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሳ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሰ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ሱ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሶ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሷ , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
ጎ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ስ , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
ሺ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሻ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሸ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሹ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሾ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሿ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ሼ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሽ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጊ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሴ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሁ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጹ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሣ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ው , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቂ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጽ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ዞ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ጻ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ፆ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ዸ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ች , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ሥ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቿ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቾ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቹ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቸ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ቻ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቺ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ት , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
ቴ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ቷ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቶ , 0 , 23580 , 0 , 90 , 94.9275362319 , 0 , 0.0 , 0
ቱ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ተ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ታ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቲ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቭ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቬ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቮ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቩ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቨ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቫ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቪ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ብ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቤ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቧ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቦ , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
ቡ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
በ , 90 , 23490 , 90 , 0 , 94.9275362319 , 50.0 , 100.0 , 66.6666666667
ባ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቢ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቕ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቔ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቖ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቑ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
ቐ , 90 , 23490 , 0 , 0 , 94.9275362319 , 100.0 , 100.0 , 100.0
